"pid","female","y1","y2","y3","y4","y5"
78,0,4.11,3.22,1.89,2.78,3
79,0,5,4.11,2.33,2.78,2.33
80,0,3.22,2.33,3.22,1.89,3
81,0,3.67,3.22,2.78,1,3
82,0,3.67,3.67,1.89,1.44,3.33
83,0,3.22,2.78,3.22,3.22,4
84,0,3.22,2.78,2.78,2.33,1.67
85,0,4.56,3.22,2.78,2.33,3.33
86,0,4.11,2.78,2.33,2.78,3.33
87,0,4.56,3.67,3.22,3.22,3.33
88,0,3.67,2.33,2.78,2.33,3
89,0,4.11,2.78,3.67,2.78,2.67
90,0,4.11,3.67,1.89,2.33,3.33
91,0,3.67,2.78,3.22,1.89,2.67
92,0,4.11,3.22,3.22,4.11,3
93,0,3.22,3.22,3.22,3.67,3.67
94,0,5,4.11,2.33,1.89,3.67
95,0,4.56,3.22,2.78,3.67,3.67
96,0,3.22,1.89,2.78,3.22,3.67
97,0,3.67,1.89,1.89,1.89,3
98,0,3.22,3.22,1,2.78,3
99,0,4.56,3.22,2.78,1,2
100,0,3.22,2.78,3.22,2.33,2.33
101,0,2.78,3.22,3.22,1.44,3
102,0,4.11,2.33,3.22,3.22,2.67
103,0,3.67,2.33,1.44,2.78,2.67
104,0,3.22,2.78,2.33,3.22,3
105,0,2.78,3.22,2.78,3.67,2
106,0,3.22,3.67,3.22,4.56,3.33
107,0,3.67,3.67,2.78,2.33,3.67
108,0,2.78,2.33,3.67,3.67,3.67
109,0,3.67,3.67,2.33,2.33,3.33
110,0,4.11,3.67,3.67,2.33,4.33
111,0,3.67,2.78,2.33,1.44,3.33
112,0,2.78,1.89,3.22,2.33,3
113,0,3.67,2.78,2.78,3.67,4
114,0,3.67,3.22,2.78,1.89,2.33
115,0,4.56,2.78,3.22,1,3.33
116,0,2.78,2.33,2.33,2.33,3.33
117,0,2.78,2.33,4.11,2.78,2.33
118,0,2.78,3.22,3.22,2.33,2.67
119,0,4.11,3.67,2.33,3.67,2.33
120,0,3.67,3.67,2.78,2.33,2.67
121,0,3.67,1.89,3.67,3.67,1.67
122,0,4.11,4.11,1.89,2.78,4.33
123,0,3.22,1.44,3.22,3.22,3
124,0,3.67,2.78,2.33,2.78,2.67
125,0,3.67,3.22,2.78,2.33,3
126,0,3.67,3.22,3.67,2.33,3.33
127,0,4.11,2.33,3.67,1.89,3
128,0,3.22,2.78,2.78,2.33,3.33
129,0,3.67,3.22,1,3.22,2.67
130,0,3.67,2.78,2.78,3.22,2.33
131,0,4.56,2.33,2.78,2.78,3
132,0,3.67,2.33,2.33,2.33,3
133,0,4.11,3.67,3.22,2.78,2.67
134,0,3.67,3.67,2.33,1,2
135,0,3.67,2.78,1.89,4.11,3
136,0,2.33,3.22,2.33,1.89,2.33
137,0,4.56,3.22,2.33,1.89,2.67
138,0,4.11,3.22,3.22,1.44,2.33
139,0,3.22,3.22,2.78,2.33,2.67
140,0,3.67,2.78,2.33,1.44,3.67
141,0,3.22,1.89,2.33,1.44,2.33
142,0,3.67,3.22,4.11,1.89,4
143,0,3.67,2.33,1,2.78,2
144,0,3.22,2.78,1.44,2.78,3
145,0,3.22,2.33,1.89,1.89,3
146,0,3.67,2.33,3.22,1.89,2.67
147,0,4.11,4.11,3.67,5,3.33
148,0,3.22,4.11,2.33,2.33,3
149,0,3.22,2.78,2.78,2.78,1.67
150,0,3.22,2.33,1.44,2.78,2
151,0,3.67,2.33,3.67,1.89,3.67
152,0,4.11,2.78,2.78,1.89,3.33
153,0,3.67,3.22,2.78,1.44,3.33
154,0,3.67,2.78,2.33,1.89,2.67
155,0,2.78,3.22,2.78,1.44,2
156,0,3.67,2.78,2.78,2.33,2
157,0,3.22,3.22,2.78,2.78,4.33
158,0,3.22,2.33,2.78,2.33,3
159,0,3.22,2.78,2.78,1.89,2
160,0,3.22,3.67,3.22,3.22,4.33
161,0,4.11,3.67,3.67,1.44,3.33
162,0,3.22,2.78,2.78,1.44,3.67
163,0,3.67,3.67,2.78,3.67,3.33
164,0,3.67,3.22,3.67,2.78,3.33
165,0,4.11,1.89,2.78,2.33,2.67
166,0,3.67,3.22,5,3.22,3.67
167,0,3.67,3.22,1.89,2.78,2.67
168,0,2.33,2.33,3.67,1.44,2.33
169,0,3.22,3.22,2.33,1.44,3.33
170,0,3.67,3.22,3.22,2.78,2.67
171,0,5,3.22,3.67,3.67,4
172,0,3.22,3.22,3.22,1.89,3.33
173,0,2.78,2.33,2.33,3.22,4
174,0,3.22,3.67,3.67,2.33,2.67
175,0,3.67,2.78,2.78,2.78,2.67
176,0,4.56,3.22,4.11,1,3
177,0,3.22,3.67,2.78,2.33,3.67
178,0,3.67,3.22,3.67,4.11,4
179,0,5,4.56,3.22,3.22,2.67
180,0,3.67,3.67,2.33,2.78,4.33
181,0,3.67,3.22,1.44,1.44,3
182,0,4.11,3.22,2.78,3.67,3.33
183,0,3.22,3.22,3.67,2.33,3
184,0,4.11,3.22,2.78,2.33,1.33
185,0,4.11,2.78,3.67,1.89,3.33
186,0,3.67,3.22,2.33,1.44,3.67
187,0,3.67,3.67,4.56,3.67,3
188,0,3.22,2.78,2.33,2.78,2.33
189,0,3.67,2.33,2.78,2.78,2.67
190,0,3.22,2.78,1.44,3.22,2.33
191,0,3.22,3.67,3.67,3.22,2
192,0,3.67,3.22,2.33,2.78,3.33
193,0,4.11,3.67,2.78,2.33,2
194,0,3.67,3.67,4.11,2.33,3.33
195,0,2.78,1.44,2.33,2.33,3
196,0,3.22,3.22,3.22,1.44,2.33
197,0,4.11,3.67,3.67,2.33,4
198,0,3.22,2.33,2.78,1.89,2.33
199,0,3.67,3.22,2.78,3.22,3
200,0,3.22,2.33,3.67,1.89,3
201,0,3.22,2.78,2.78,3.67,3.33
202,0,4.11,2.33,4.11,2.33,4.33
203,0,4.11,3.22,3.22,3.22,3.67
204,0,3.67,3.22,2.33,1.89,3
205,0,1.44,2.78,2.78,1,2
206,0,4.11,5,4.11,5,3
207,0,4.56,3.67,3.22,3.22,2.67
208,0,3.67,3.22,2.78,3.22,3.33
209,0,2.78,2.33,2.33,3.22,3.33
210,0,3.67,3.67,4.11,3.67,2.33
211,0,3.22,2.33,2.33,2.33,3.33
212,0,3.67,2.78,3.22,3.22,3
213,0,4.11,3.22,3.67,1.89,2.33
214,0,4.56,3.67,2.33,1.89,1.67
215,0,4.56,2.78,3.22,4.11,3
216,0,4.56,2.33,3.67,3.67,3.67
217,0,3.67,3.22,3.67,1.44,2.67
218,0,4.11,3.22,1.89,2.78,1.67
219,0,3.67,3.67,2.78,3.67,3
220,0,3.67,3.67,2.78,1.89,3
221,0,4.11,2.33,2.33,1.44,2
222,0,3.22,2.33,1.44,2.33,4
223,0,3.22,2.33,2.78,1.89,3.33
224,0,3.22,2.78,2.78,2.33,3
225,0,4.11,3.22,2.78,1.44,2.33
226,0,5,3.22,4.11,2.78,3.67
227,0,3.67,2.33,3.67,2.33,2.33
228,0,2.78,1.44,2.78,1.44,2.67
229,0,4.56,2.78,1.44,2.33,3.67
230,0,3.22,2.78,1.89,2.78,3.67
231,0,3.67,1.89,1.89,3.22,2.33
232,0,2.78,2.33,1.44,2.33,1
233,0,3.22,2.78,2.78,2.33,2.67
234,0,4.56,3.22,3.67,2.33,3.33
235,0,2.78,3.22,2.78,1.89,3.67
236,0,3.67,3.22,4.11,2.33,2.33
237,0,3.67,2.78,3.22,2.78,3.33
238,0,2.78,2.33,1.44,2.78,2.67
239,0,3.22,3.67,2.78,2.78,4
240,0,3.67,4.11,1.89,2.78,3
241,1,2.78,2.33,2.78,1.89,3.33
242,1,3.22,3.22,3.22,1.89,3.67
243,1,1.89,2.33,3.22,2.33,3
244,1,4.56,3.22,3.67,3.67,3.67
245,1,2.33,3.22,1.44,3.22,4.33
246,1,2.33,2.33,1.89,4.11,2.33
247,1,4.11,3.67,2.78,2.78,3.33
248,1,2.33,3.22,4.11,3.22,3.67
249,1,3.67,2.78,4.11,2.33,3.33
250,1,2.78,2.78,2.33,2.33,3.67
251,1,4.11,3.67,3.67,2.78,4
252,1,3.22,1.89,1.89,3.67,4
253,1,2.78,3.22,2.78,2.33,3
254,1,2.33,2.78,1.89,1.89,2.33
255,1,1.89,2.78,1.44,4.56,4.67
256,1,2.78,3.22,3.22,1.89,3.67
257,1,3.22,2.33,3.22,4.11,2.33
258,1,3.67,3.22,3.67,2.33,4
259,1,4.11,1.89,3.22,3.22,4
260,1,3.67,2.78,3.67,2.78,3.33
261,1,4.11,4.11,2.33,2.33,4
262,1,3.67,3.67,2.78,3.22,3.33
263,1,2.78,2.33,3.67,2.78,3.33
264,1,2.78,1.44,1.89,1.44,2.67
265,1,3.67,3.22,1.89,2.33,4.33
266,1,3.22,3.22,1.44,3.22,3.67
267,1,2.78,2.78,3.67,2.33,3
268,1,3.22,2.78,2.33,2.33,2
269,1,3.22,1.44,2.33,3.22,3.33
270,1,3.67,2.33,4.11,3.22,3
271,1,3.67,4.56,4.11,2.33,3.67
272,1,3.22,3.22,2.78,2.33,3.33
273,1,3.67,3.67,3.22,2.78,3
274,1,3.22,1.89,2.33,1.44,4.33
275,1,3.22,2.78,1.89,1.89,2.67
276,1,3.22,3.67,1.89,1.89,3.67
277,1,2.78,2.33,3.67,3.67,2.33
278,1,2.78,2.33,2.78,2.78,3.67
279,1,2.78,3.22,4.11,4.11,3.33
280,1,3.22,3.22,2.33,3.22,4
281,1,3.67,2.78,2.78,2.33,3.33
282,1,3.67,2.33,2.78,2.78,3
283,1,3.22,3.67,2.78,1.89,4
284,1,3.67,3.22,2.78,3.22,3.33
285,1,3.22,2.33,2.78,2.78,2.67
286,1,2.33,2.33,4.11,2.33,2.67
287,1,3.67,2.33,3.22,3.22,3.33
288,1,2.33,2.33,2.78,3.22,4.33
289,1,2.33,2.78,2.33,2.78,3.67
290,1,4.11,3.22,2.33,2.78,4
291,1,3.22,3.22,3.67,2.78,3.33
292,1,3.22,3.22,1.44,2.78,3.33
293,1,2.33,2.78,3.22,3.22,3.67
294,1,2.33,2.33,3.22,2.78,2.33
295,1,3.67,2.78,2.33,3.22,5
296,1,3.67,4.11,3.67,3.22,4.33
297,1,2.78,2.33,2.78,2.33,3.67
298,1,2.33,2.33,1.89,2.33,3.33
299,1,2.78,3.22,2.78,3.22,3.67
300,1,4.11,1.89,3.22,2.78,3
301,1,3.67,4.11,3.67,3.22,4.67
302,1,3.67,2.33,3.22,3.67,3
303,1,3.67,3.22,2.33,2.33,4.33
304,1,3.67,2.33,2.78,2.78,3.33
305,1,2.78,1.89,1.89,2.33,4
306,1,2.78,3.67,2.33,1.89,4
307,1,2.33,2.33,2.78,1.89,2.67
308,1,3.67,3.22,2.78,3.22,4.33
309,1,2.78,3.22,4.56,2.78,2.67
310,1,4.11,3.67,3.22,3.67,4.33
311,1,3.22,2.78,2.78,2.78,4
312,1,2.78,1.89,2.78,2.33,3
313,1,3.22,3.22,3.67,2.78,3.33
314,1,2.78,2.33,2.78,2.78,2.67
315,1,3.22,1.89,1.44,2.78,3
316,1,3.67,3.22,2.78,1.89,3.67
317,1,3.22,3.22,3.67,1.89,2.67
318,1,3.67,3.22,1.89,2.78,3.33
319,1,4.56,4.11,2.33,2.78,2.67
320,1,2.78,1.89,3.22,2.33,3.33
321,1,3.22,3.22,2.78,1.44,3.33
322,1,3.22,3.22,1.89,1.89,3.67
323,1,2.78,2.78,3.22,3.22,4.33
324,1,2.78,2.78,2.78,2.78,2
325,1,4.11,2.78,2.78,2.33,3.67
326,1,3.67,2.78,2.33,3.22,3.67
327,1,4.11,3.22,3.22,3.22,3.67
328,1,3.22,2.33,2.78,2.78,3.33
329,1,3.67,2.78,3.67,3.22,3
330,1,3.67,3.67,1.89,2.78,3.67
331,1,3.22,2.78,3.22,2.33,3
332,1,3.67,2.78,3.22,4.56,3.33
333,1,2.78,2.78,3.22,4.11,4
334,1,4.56,3.67,2.33,1.89,4
335,1,4.11,3.22,2.78,4.11,4
336,1,2.78,1.89,2.78,3.22,4
337,1,3.22,1.44,1.89,1.89,3.33
338,1,2.78,3.22,1,3.22,3.33
339,1,4.11,3.22,2.78,1.44,2.33
340,1,2.78,2.78,3.22,2.33,2.67
341,1,2.33,3.22,3.22,1.89,3.33
342,1,3.67,2.33,3.22,3.22,3
343,1,3.22,1.89,1.44,2.78,3
344,1,2.78,2.78,2.33,3.67,3.33
345,1,2.33,2.78,2.78,3.67,2.33
346,1,2.78,3.67,3.22,4.56,3.67
347,1,3.22,3.67,2.78,2.33,4
348,1,2.33,2.33,3.67,3.67,4
349,1,3.22,3.67,2.33,2.78,3.67
350,1,3.67,3.22,3.67,2.33,4.67
351,1,3.22,2.78,2.33,1.44,3.67
352,1,2.33,1.89,3.22,2.33,3.33
353,1,3.22,2.33,2.78,4.11,4.33
354,1,3.22,2.78,2.78,1.89,2.67
355,1,4.11,2.33,3.22,1,3.67
356,1,2.33,1.89,2.33,2.78,3.67
357,1,2.33,1.89,4.11,3.22,2.67
358,1,2.33,2.78,3.22,2.78,3
359,1,3.67,3.22,2.33,4.11,2.67
360,1,3.22,3.22,2.78,2.33,3
361,1,3.22,1.89,3.67,3.67,2
362,1,3.67,3.67,1.89,3.22,4.67
363,1,2.78,1,3.22,3.67,3.33
364,1,3.22,2.78,2.33,3.22,3
365,1,3.22,2.78,2.78,2.78,3.33
366,1,3.22,3.22,3.67,2.33,3.67
367,1,3.67,2.33,3.67,1.89,3.33
368,1,2.78,2.78,2.78,2.33,3.67
369,1,3.22,3.22,1,3.22,3
370,1,3.22,2.78,2.78,3.22,2.67
371,1,4.11,2.33,2.78,3.22,3.33
372,1,3.22,1.89,2.33,2.33,3.33
373,1,3.67,3.67,3.22,3.22,3
374,1,3.22,3.67,2.33,1.44,2.33
375,1,3.22,2.78,1.89,4.56,3.33
376,1,1.89,3.22,2.33,1.89,2.67
377,1,4.11,2.78,2.33,2.33,3
378,1,3.67,3.22,3.22,1.89,2.67
379,1,2.78,2.78,2.78,2.33,3
380,1,3.22,2.78,2.33,1.89,4
381,1,2.78,1.89,2.33,1.44,2.67
382,1,3.22,3.22,4.11,2.33,4.33
383,1,3.22,2.33,1,2.78,2.33
384,1,2.78,2.33,1.44,3.22,3.33
385,1,2.78,1.89,1.89,1.89,3.33
386,1,3.22,1.89,3.22,2.33,3
387,1,3.67,3.67,3.67,5,3.67
388,1,2.78,3.67,2.33,2.33,3.33
389,1,2.78,2.33,2.78,2.78,2
390,1,2.78,1.89,1.44,2.78,2.33
391,1,3.22,2.33,3.67,1.89,4
392,1,3.67,2.33,2.78,2.33,3.67
393,1,3.22,2.78,2.78,1.89,3.67
394,1,3.22,2.78,2.33,2.33,3
395,1,2.33,3.22,2.78,1.44,2.33
396,1,3.22,2.33,2.78,2.33,2.33
397,1,2.78,2.78,2.78,2.78,4.67
398,1,2.78,2.33,2.78,2.78,3.33
399,1,2.78,2.33,2.78,2.33,2.33
400,1,2.78,3.67,3.22,3.67,4.67
401,1,3.67,3.67,3.67,1.44,3.67
402,1,2.78,2.33,2.78,1.89,4
403,1,3.22,3.22,2.78,3.67,3.67
404,1,3.22,3.22,3.67,3.22,3.67
405,1,3.67,1.89,2.78,2.78,3
406,1,3.22,3.22,5,3.67,4
407,1,3.22,3.22,1.89,3.22,3
408,1,1.89,2.33,3.67,1.89,2.67
409,1,2.78,3.22,2.33,1.89,3.67
410,1,3.22,2.78,3.22,3.22,3
411,1,4.56,3.22,3.67,4.11,4.33
412,1,2.78,3.22,3.22,2.33,3.67
413,1,2.33,1.89,2.33,3.22,4.33
414,1,2.78,3.67,3.67,2.33,3
415,1,3.22,2.33,2.78,3.22,3
416,1,4.11,2.78,4.11,1.44,3.33
417,1,2.78,3.67,2.78,2.78,4
418,1,3.22,2.78,3.67,4.11,4.33
419,1,4.56,4.11,3.22,3.22,3
420,1,3.22,3.22,2.33,2.78,4.67
421,1,3.22,2.78,1.44,1.44,3.33
422,1,3.67,2.78,2.78,4.11,3.67
423,1,2.78,3.22,3.67,2.78,3.33
424,1,3.67,2.78,2.78,2.33,1.67
425,1,3.67,2.78,3.67,2.33,3.67
426,1,3.22,3.22,2.33,1.89,4
427,1,3.22,3.67,4.56,3.67,3.33
428,1,2.78,2.33,2.33,3.22,2.67
429,1,3.22,2.33,2.78,2.78,3
430,1,2.78,2.78,1.44,3.22,2.67
431,1,2.78,3.22,3.67,3.22,2.33
432,1,3.22,2.78,2.33,3.22,3.67
433,1,3.67,3.22,2.78,2.78,2.33
434,1,3.22,3.22,4.11,2.78,3.67
435,1,2.33,1.44,2.33,2.33,3.33
436,1,2.78,3.22,3.22,1.89,2.67
437,1,3.67,3.22,3.67,2.78,4.33
438,1,2.78,2.33,2.78,1.89,2.67
439,1,3.22,2.78,2.78,3.22,3.33
440,1,2.78,1.89,3.67,2.33,3.33
441,1,2.78,2.78,2.78,3.67,3.67
442,1,3.67,1.89,4.11,2.33,4.67
443,1,3.67,3.22,3.22,3.67,4
444,1,3.22,3.22,2.33,2.33,3.33
445,1,1,2.33,2.78,1.44,2.33
446,1,3.67,4.56,4.11,5,3.33
447,1,4.11,3.67,3.22,3.22,3
448,1,3.22,3.22,2.78,3.67,3.67
449,1,2.33,2.33,2.33,3.22,3.67
450,1,3.22,3.22,4.11,3.67,2.67
451,1,2.78,2.33,2.33,2.78,3.67
452,1,3.22,2.78,3.22,3.22,3.33
453,1,3.67,3.22,3.67,2.33,2.67
454,1,4.11,3.67,2.33,2.33,2
455,1,4.11,2.78,3.22,4.11,3.33
456,1,4.11,1.89,3.67,3.67,4
457,1,3.22,3.22,3.67,1.44,3
458,1,3.67,2.78,1.89,3.22,2
459,1,3.22,3.22,2.78,3.67,3.33
460,1,3.22,3.22,2.78,2.33,3.33
461,1,3.67,1.89,2.33,1.89,2.33
462,1,2.78,1.89,1.44,2.78,4.33
463,1,2.78,1.89,2.78,1.89,3.67
464,1,2.78,2.78,2.78,2.33,3.33
465,1,3.67,2.78,2.78,1.89,2.67
466,1,4.56,2.78,4.11,2.78,4
467,1,3.22,2.33,3.67,2.33,2.67
468,1,2.33,1.44,2.78,1.89,3
469,1,4.11,2.33,1.44,2.78,4
470,1,2.78,2.33,1.89,3.22,4
471,1,3.22,1.44,1.89,3.22,2.67
472,1,2.33,1.89,1.44,2.78,1.33
473,1,2.78,2.33,2.78,2.33,3
474,1,4.11,2.78,3.67,2.33,3.67
475,1,2.33,3.22,2.78,1.89,4
476,1,3.22,3.22,4.11,2.33,2.67
477,1,3.22,2.33,3.22,2.78,3.67
478,1,2.33,1.89,1.44,2.78,3
479,1,2.78,3.67,2.78,2.78,4.33
480,1,3.22,3.67,1.89,3.22,3.33
