"pid","gid","y1","y2","y3","ix","gx"
87,4,2,4,5,3,0
88,4,2,2,4,4,0
89,4,4,4,4,4,0
90,4,2,2,3,3,0
91,4,4,5,4,4,0
92,4,5,4,4,4,0
93,4,4,3,3,4,0
94,4,4,5,5,3,0
95,4,2,3,4,3,0
96,4,4,4,4,3,0
97,4,4,4,5,3,0
98,4,5,5,5,4,0
99,4,5,5,6,3,0
100,4,5,5,5,4,0
101,4,4,4,5,3,0
102,4,5,3,4,5,0
103,5,4,4,4,6,0
104,5,2,2,4,3,0
105,5,4,4,5,5,0
106,5,4,3,4,3,0
107,5,5,5,5,4,0
108,5,4,4,5,4,0
109,5,6,5,5,5,0
110,5,3,4,5,3,0
111,5,5,4,5,4,0
112,5,4,5,5,3,0
113,5,3,3,3,4,0
114,5,3,3,3,4,0
115,5,5,4,4,4,0
116,5,4,3,3,5,0
117,5,2,3,5,4,0
118,5,3,4,5,3,0
119,5,3,3,5,4,0
120,5,4,4,5,4,0
121,5,4,4,5,3,0
122,5,3,3,4,4,0
123,5,5,4,5,5,0
124,5,3,3,4,3,0
125,5,4,3,4,4,0
126,5,3,3,4,3,0
127,5,4,4,5,2,0
128,6,4,5,5,4,0
129,6,2,3,4,4,0
130,6,5,6,6,4,0
131,6,3,5,4,4,0
132,6,5,5,5,4,0
133,6,5,5,5,2,0
134,6,4,6,4,4,0
135,6,5,6,6,5,0
136,6,4,3,3,5,0
137,6,6,5,5,4,0
138,6,3,5,4,7,0
139,6,5,6,5,4,0
140,6,4,4,4,3,0
141,6,4,5,5,4,0
142,6,4,5,4,4,0
143,6,5,5,5,4,0
144,6,4,5,5,4,0
145,6,4,4,4,4,0
146,6,4,5,4,4,0
147,6,2,4,3,4,0
148,6,5,5,5,4,0
149,6,4,5,5,5,0
150,6,3,5,5,4,0
151,6,4,5,4,4,0
152,7,3,4,4,4,0
153,7,4,5,4,3,0
154,7,3,3,3,2,0
155,7,4,4,5,5,0
156,7,4,5,5,4,0
157,7,5,4,5,5,0
158,7,4,4,4,2,0
159,7,5,5,5,3,0
160,7,3,4,5,3,0
161,7,4,5,5,4,0
162,7,5,4,5,4,0
163,7,3,2,4,3,0
164,7,4,4,5,4,0
165,7,6,5,5,4,0
166,7,4,3,5,4,0
167,7,3,4,4,5,0
168,7,3,3,5,4,0
169,7,4,4,4,4,0
170,7,4,4,6,3,0
171,7,3,3,4,5,0
172,7,3,4,4,4,0
173,7,4,4,4,5,0
174,7,5,4,5,3,0
175,7,3,4,4,4,0
176,7,1,2,3,4,0
177,7,3,3,3,3,0
178,7,4,4,5,4,0
179,7,3,2,4,3,0
180,7,4,4,5,3,0
181,8,4,5,5,4,0
182,8,5,5,6,5,0
183,8,4,5,6,5,0
184,8,5,5,6,5,0
185,8,3,5,4,5,0
186,8,3,4,4,5,0
187,8,3,4,4,4,0
188,8,4,3,5,4,0
189,8,3,4,5,4,0
190,8,4,3,5,4,0
191,8,2,3,4,4,0
192,8,5,5,5,5,0
193,8,5,6,6,5,0
194,8,5,5,5,4,0
195,8,3,3,3,3,0
196,8,4,4,4,5,0
197,8,4,5,5,4,0
198,8,4,4,5,5,0
199,8,5,4,5,4,0
200,8,3,4,3,5,0
201,8,4,4,5,4,0
202,8,6,5,6,4,0
203,8,4,4,5,4,0
204,8,3,4,5,3,0
205,9,4,5,6,4,0
206,9,4,4,5,4,0
207,9,4,2,4,3,0
208,9,4,4,5,4,0
209,9,4,4,5,3,0
210,9,3,4,4,3,0
211,9,4,4,5,4,0
212,9,4,5,5,3,0
213,9,4,5,5,5,0
214,9,4,3,4,3,0
215,9,4,5,6,5,0
216,9,3,4,5,3,0
217,9,3,3,3,5,0
218,9,3,4,4,4,0
219,9,5,4,4,4,0
220,9,4,4,5,5,0
221,9,4,4,4,4,0
222,9,3,3,5,4,0
223,9,5,5,5,5,0
224,9,5,4,5,4,0
225,9,5,4,5,4,0
226,9,4,5,6,4,0
227,9,6,5,6,5,0
228,9,4,3,4,3,0
229,9,4,5,5,4,0
230,9,4,4,4,5,0
231,9,3,2,3,3,0
232,10,5,5,6,5,0
233,10,4,4,4,3,0
234,10,4,4,4,6,0
235,10,3,5,5,3,0
236,10,3,4,4,3,0
237,10,3,4,5,3,0
238,10,4,5,3,4,0
239,10,4,5,5,4,0
240,10,4,5,5,4,0
241,10,5,5,6,4,0
242,10,4,4,5,3,0
243,10,3,4,4,3,0
244,10,5,6,6,5,0
245,10,4,4,4,4,0
246,10,5,6,6,6,0
247,10,5,4,5,3,0
248,10,3,5,4,3,0
249,10,4,5,6,4,0
250,10,5,4,5,4,0
251,10,3,3,4,3,0
252,10,5,5,6,3,0
253,10,4,4,4,3,0
254,10,4,4,5,5,0
255,10,3,4,5,4,0
256,10,3,4,5,3,0
257,10,4,5,5,4,0
258,11,5,5,5,5,0
259,11,4,5,4,4,0
260,11,5,5,6,5,0
261,11,4,4,4,3,0
262,11,4,5,5,4,0
263,11,3,4,4,4,0
264,11,4,5,6,3,0
265,11,3,5,4,5,0
266,11,4,5,5,4,0
267,11,5,4,4,5,0
268,11,3,3,4,3,0
269,11,5,4,5,3,0
270,11,3,5,4,3,0
271,11,3,3,3,3,0
272,11,5,5,6,5,0
273,11,3,3,4,4,0
274,11,5,6,6,4,0
275,11,3,5,5,4,0
276,11,3,4,4,4,0
277,11,3,3,4,2,0
278,11,4,4,5,5,0
279,11,4,3,6,3,0
280,11,4,5,5,4,0
281,11,2,4,4,3,0
282,11,4,4,4,3,0
283,11,4,5,5,4,0
284,12,3,4,5,4,0
285,12,4,4,6,3,0
286,12,3,3,3,4,0
287,12,3,3,4,4,0
288,12,5,4,5,4,0
289,12,4,4,5,4,0
290,12,3,4,4,3,0
291,12,4,4,4,4,0
292,12,4,4,5,3,0
293,12,5,5,6,3,0
294,12,5,5,6,5,0
295,12,3,3,6,4,0
296,12,3,4,5,4,0
297,12,4,4,5,3,0
298,12,3,5,5,3,0
299,12,3,4,5,5,0
300,12,3,3,5,3,0
301,12,5,5,6,5,0
302,12,5,4,5,4,0
303,12,3,3,3,4,0
304,12,4,5,6,4,0
305,12,5,4,5,3,0
306,12,3,4,5,3,0
307,12,4,4,5,3,0
308,12,3,4,4,5,0
309,12,5,5,5,5,0
310,13,4,5,5,3,0
311,13,3,5,6,4,0
312,13,5,5,6,4,0
313,13,3,4,5,4,0
314,13,4,4,5,5,0
315,13,4,4,5,3,0
316,13,5,5,5,3,0
317,13,4,4,5,4,0
318,13,3,3,3,3,0
319,13,2,3,4,6,0
320,13,4,4,3,3,0
321,13,4,5,5,4,0
322,13,5,5,7,4,0
323,13,5,5,5,3,0
324,13,5,4,6,4,0
325,13,3,5,5,3,0
326,13,3,4,4,2,0
327,13,4,4,4,4,0
328,13,4,5,5,3,0
329,13,2,4,4,3,0
330,13,3,4,5,4,0
331,13,3,4,5,4,0
332,13,4,4,5,4,0
333,13,5,6,6,4,0
334,13,4,3,6,4,0
335,13,3,3,4,4,0
336,14,3,5,4,2,0
337,14,3,3,4,4,0
338,14,3,3,3,4,0
339,14,5,5,5,4,0
340,14,3,4,4,3,0
341,14,4,3,4,2,0
342,14,3,4,3,4,0
343,14,4,4,4,4,0
344,14,2,3,3,4,0
345,14,5,4,5,4,0
346,14,2,2,2,2,0
347,14,2,3,4,4,0
348,14,3,3,4,3,0
349,14,4,4,5,4,0
350,14,4,4,4,5,0
351,14,3,4,5,4,0
352,14,3,5,5,3,0
353,14,5,5,6,5,0
354,14,6,5,6,4,0
355,14,3,4,4,4,0
356,14,4,4,4,5,0
357,14,3,4,4,4,0
358,14,5,5,6,3,0
359,14,4,5,5,5,0
360,15,5,5,6,5,0
361,15,5,4,5,5,0
362,15,4,4,4,3,0
363,15,4,3,4,3,0
364,15,3,5,3,4,0
365,15,3,3,4,3,0
366,15,4,5,5,4,0
367,15,4,6,6,4,0
368,15,2,3,5,3,0
369,15,6,6,6,4,0
370,15,5,5,5,3,0
371,15,3,3,3,2,0
372,15,3,4,5,5,0
373,15,4,5,4,4,0
374,15,3,3,4,5,0
375,15,4,3,4,3,0
376,15,3,4,4,4,0
377,15,3,4,3,4,0
378,15,4,5,5,3,0
379,15,6,5,5,5,0
380,15,4,5,5,3,0
381,15,2,2,3,4,0
382,16,3,4,4,3,0
383,16,3,3,4,3,0
384,16,4,4,6,3,0
385,16,4,4,5,3,0
386,16,4,4,5,4,0
387,16,4,4,5,3,0
388,16,4,3,5,5,0
389,16,4,5,5,4,0
390,16,5,4,6,4,0
391,16,3,4,5,4,0
392,16,3,4,4,3,0
393,16,5,5,5,4,0
394,16,3,2,3,3,0
395,16,3,3,4,5,0
396,16,5,5,5,3,0
397,16,5,5,6,5,0
398,16,6,5,6,4,0
399,16,3,4,5,4,0
400,16,4,4,5,4,0
401,16,4,4,6,3,0
402,16,5,3,5,3,0
403,16,4,4,5,5,0
404,16,3,4,5,3,0
405,16,3,4,5,3,0
406,16,3,5,5,5,0
407,16,3,4,5,3,0
408,16,3,3,5,3,0
409,16,3,3,3,3,0
410,16,2,2,4,4,0
411,17,4,3,3,2,0
412,17,3,3,4,2,0
413,17,3,3,4,3,0
414,17,5,5,5,3,0
415,17,4,4,4,5,0
416,17,4,4,4,4,0
417,17,3,3,4,4,0
418,17,3,3,4,3,0
419,17,3,3,2,3,0
420,17,5,5,6,3,0
421,17,4,5,5,4,0
422,17,4,4,4,4,0
423,17,3,3,4,4,0
424,17,4,5,5,3,0
425,17,3,4,5,3,0
426,17,3,4,4,4,0
427,17,4,3,4,4,0
428,17,3,4,4,6,0
429,17,3,4,5,5,0
430,17,2,2,4,4,0
431,17,4,3,5,5,0
432,17,5,5,6,4,0
433,17,4,4,4,3,0
434,17,4,4,6,4,0
435,17,3,4,5,2,0
436,17,3,4,5,2,0
437,17,5,5,4,5,0
438,17,4,4,5,3,0
439,18,4,4,6,4,0
440,18,5,6,6,4,0
441,18,4,5,5,4,0
442,18,5,6,5,5,0
443,18,3,4,5,4,0
444,18,5,6,5,4,0
445,18,4,5,5,3,0
446,18,3,4,4,3,0
447,18,5,5,6,3,0
448,18,4,4,4,3,0
449,18,5,5,5,3,0
450,18,6,5,5,3,0
451,18,4,5,5,4,0
452,18,4,5,5,3,0
453,18,3,4,4,4,0
454,18,5,5,5,4,0
455,18,3,4,4,2,0
456,18,3,5,4,3,0
457,18,5,5,6,4,0
458,18,5,5,4,5,0
459,18,4,4,5,4,0
460,18,4,4,4,5,0
461,18,3,5,5,3,0
462,18,4,6,5,3,0
463,18,5,5,5,4,0
464,19,4,6,5,3,0
465,19,3,4,4,2,0
466,19,3,5,5,6,0
467,19,4,5,4,4,0
468,19,3,3,3,4,0
469,19,3,5,5,4,0
470,19,3,4,4,2,0
471,19,3,3,4,5,0
472,19,3,3,4,3,0
473,19,4,5,4,4,0
474,19,5,5,4,4,0
475,19,4,4,5,4,0
476,19,4,5,5,3,0
477,19,2,4,4,3,0
478,19,3,4,4,3,0
479,19,5,4,5,4,0
480,19,5,5,6,5,0
481,19,4,5,5,5,0
482,19,3,4,4,3,0
483,19,4,5,3,4,0
484,19,5,5,5,5,0
485,19,3,4,5,4,0
486,19,4,4,4,4,0
487,19,4,4,4,3,0
488,19,4,4,4,3,0
489,19,5,4,5,4,0
490,20,4,5,5,4,0
491,20,4,4,5,4,0
492,20,5,6,6,3,0
493,20,4,5,5,5,0
494,20,4,4,5,5,0
495,20,5,5,4,4,0
496,20,6,5,6,5,0
497,20,4,5,6,4,0
498,20,4,5,5,3,0
499,20,2,3,5,4,0
500,20,4,4,5,3,0
501,20,5,5,6,5,0
502,20,3,3,3,4,0
503,20,6,6,6,5,0
504,20,4,4,5,4,0
505,20,2,4,4,4,0
506,20,3,5,5,3,0
507,20,4,4,5,3,0
508,20,4,5,5,4,0
509,20,5,5,5,3,0
510,20,3,4,5,4,0
511,20,3,5,5,4,0
512,20,4,5,5,2,0
513,20,3,4,4,4,0
514,20,6,6,6,5,0
515,20,5,5,5,5,0
516,20,3,5,5,3,0
517,21,3,4,4,3,0
518,21,3,2,3,3,0
519,21,3,4,3,4,0
520,21,4,4,5,5,0
521,21,3,3,4,3,0
522,21,4,5,5,3,0
523,21,4,4,5,4,0
524,21,4,4,4,3,0
525,21,3,4,4,5,0
526,21,3,5,5,2,0
527,21,5,4,5,5,0
528,21,4,5,5,3,0
529,21,3,3,3,3,0
530,21,5,5,5,6,0
531,21,4,4,6,3,0
532,21,5,5,5,3,0
533,21,4,4,5,4,0
534,21,4,4,4,3,0
535,21,4,4,5,3,0
536,21,4,5,5,4,0
537,21,4,6,5,3,0
538,21,3,4,4,4,0
539,21,2,3,4,4,0
540,21,5,4,5,4,0
541,21,3,5,3,3,0
542,21,4,4,4,4,0
543,21,4,4,5,3,0
544,21,4,4,4,4,0
545,22,3,4,4,3,0
546,22,3,4,5,3,0
547,22,5,6,6,4,0
548,22,5,5,5,4,0
549,22,4,6,6,3,0
550,22,5,6,5,4,0
551,22,5,5,5,3,0
552,22,4,4,5,4,0
553,22,3,4,5,4,0
554,22,4,4,4,5,0
555,22,4,4,4,4,0
556,22,3,5,4,4,0
557,22,5,5,6,4,0
558,22,3,5,4,3,0
559,22,4,5,4,4,0
560,22,4,5,5,3,0
561,22,7,7,7,4,0
562,22,4,5,5,5,0
563,22,2,4,4,5,0
564,22,4,5,4,5,0
565,22,4,4,5,3,0
566,22,3,3,5,4,0
567,22,3,4,3,3,0
568,22,4,5,5,4,0
569,22,4,4,5,3,0
570,22,2,3,4,4,0
571,22,5,7,6,5,0
572,23,4,5,5,2,0
573,23,4,5,4,4,0
574,23,3,3,3,3,0
575,23,4,5,5,3,0
576,23,5,4,5,4,0
577,23,6,5,5,4,0
578,23,3,5,4,4,0
579,23,4,5,4,3,0
580,23,4,5,5,4,0
581,23,5,6,6,5,0
582,23,4,4,5,4,0
583,23,2,4,3,2,0
584,23,3,4,5,3,0
585,23,4,6,5,5,0
586,23,3,4,4,2,0
587,23,4,4,5,4,0
588,23,4,6,5,5,0
589,23,3,4,5,2,0
590,23,4,5,5,4,0
591,23,3,4,5,4,0
592,23,3,4,5,3,0
593,23,5,5,5,4,0
594,23,3,4,5,3,0
595,23,3,3,4,4,0
596,23,4,6,6,4,0
597,23,3,5,5,4,0
598,23,2,4,5,4,0
599,23,4,5,5,4,0
600,24,5,5,7,4,0
601,24,4,5,4,3,0
602,24,5,5,5,3,0
603,24,3,3,4,4,0
604,24,4,4,5,4,0
605,24,2,3,4,5,0
606,24,5,4,4,4,0
607,24,3,4,5,4,0
608,24,3,3,4,2,0
609,24,5,4,5,4,0
610,24,4,4,6,4,0
611,24,1,2,3,4,0
612,24,5,5,6,4,0
613,24,5,5,6,4,0
614,24,3,4,4,4,0
615,24,4,5,5,4,0
616,24,4,5,5,4,0
617,24,3,4,3,3,0
618,24,3,3,5,3,0
619,24,3,4,5,3,0
620,24,5,5,5,4,0
621,24,5,5,5,4,0
622,24,3,3,4,4,0
623,24,4,4,5,4,0
624,24,3,3,3,3,0
625,24,3,4,6,4,0
626,24,2,4,4,3,0
627,24,4,5,5,4,0
628,25,2,5,4,3,0
629,25,2,3,3,3,0
630,25,3,2,4,4,0
631,25,3,4,5,4,0
632,25,4,4,5,4,0
633,25,3,4,3,4,0
634,25,3,4,5,4,0
635,25,4,4,5,6,0
636,25,2,3,3,4,0
637,25,4,4,4,4,0
638,25,4,5,5,5,0
639,25,3,5,5,3,0
640,25,3,4,4,5,0
641,25,3,3,4,3,0
642,25,4,5,5,4,0
643,25,4,4,5,3,0
644,25,5,5,6,3,0
645,25,5,6,6,4,0
646,25,3,3,4,3,0
647,25,4,4,5,3,0
648,25,4,4,4,4,0
649,25,4,3,3,3,0
650,25,4,4,4,5,0
651,25,4,5,6,6,0
652,25,4,5,5,3,0
653,25,4,4,4,4,0
654,25,3,4,5,3,0
655,25,4,5,5,5,0
656,26,4,5,5,4,0
657,26,4,5,5,4,0
658,26,4,4,5,4,0
659,26,4,4,6,4,0
660,26,5,5,6,4,0
661,26,3,4,5,4,0
662,26,5,4,4,4,0
663,26,3,4,4,4,0
664,26,4,4,5,4,0
665,26,4,5,5,4,0
666,26,3,4,4,4,0
667,26,5,3,5,4,0
668,26,4,4,5,3,0
669,26,4,5,6,5,0
670,26,3,4,5,4,0
671,26,4,5,5,4,0
672,26,5,3,4,4,0
673,26,4,5,5,4,0
674,26,3,3,4,4,0
675,26,3,3,4,4,0
676,26,5,5,6,4,0
677,26,3,4,5,3,0
678,26,5,4,6,4,0
679,26,4,5,5,5,0
680,26,4,3,4,2,0
681,26,6,6,6,4,0
682,26,3,4,4,4,0
683,26,3,5,5,5,0
684,26,5,5,6,4,0
685,27,3,2,4,4,0
686,27,5,4,6,2,0
687,27,3,3,4,4,0
688,27,4,5,6,4,0
689,27,3,4,5,4,0
690,27,4,4,5,5,0
691,27,4,5,6,5,0
692,27,4,5,4,5,0
693,27,3,4,5,3,0
694,27,4,4,5,4,0
695,27,3,4,6,5,0
696,27,3,4,5,4,0
697,27,4,4,5,4,0
698,27,5,4,4,5,0
699,27,5,4,6,4,0
700,27,5,6,6,3,0
701,27,4,5,6,5,0
702,27,5,4,6,3,0
703,27,4,4,6,6,0
704,27,5,4,6,4,0
705,27,3,4,5,4,0
706,27,5,4,6,5,0
707,27,4,5,5,5,0
708,27,4,4,5,2,0
709,28,4,3,5,5,0
710,28,3,5,4,4,0
711,28,5,5,4,4,0
712,28,3,6,4,4,0
713,28,4,5,6,2,0
714,28,6,6,5,3,0
715,28,5,5,6,4,0
716,28,3,4,4,5,0
717,28,3,5,4,4,0
718,28,5,5,4,3,0
719,28,3,3,3,2,0
720,28,3,5,4,4,0
721,28,4,4,5,4,0
722,28,3,4,4,2,0
723,28,5,5,4,4,0
724,28,3,4,4,5,0
725,28,4,4,5,2,0
726,28,4,5,4,3,0
727,28,3,4,4,3,0
728,28,4,4,4,3,0
729,28,3,4,4,3,0
730,28,3,5,5,5,0
731,28,4,3,4,3,0
732,28,4,5,4,4,0
733,28,4,6,5,3,0
734,28,3,4,5,5,0
735,28,5,4,5,5,0
736,28,2,4,4,3,0
737,29,4,5,6,6,0
738,29,5,5,5,4,0
739,29,5,5,5,3,0
740,29,5,5,6,3,0
741,29,4,5,6,3,0
742,29,5,4,5,3,0
743,29,5,5,6,3,0
744,29,4,4,4,4,0
745,29,3,5,5,3,0
746,29,3,4,5,3,0
747,29,4,4,4,5,0
748,29,3,5,5,5,0
749,29,4,5,5,3,0
750,29,3,4,4,3,0
751,29,4,5,5,4,0
752,29,3,4,4,4,0
753,29,4,5,6,4,0
754,29,3,4,5,3,0
755,29,4,5,6,4,0
756,29,3,4,4,4,0
757,29,3,4,5,5,0
758,29,3,2,5,4,0
759,29,4,5,5,4,0
760,29,4,4,3,4,0
761,29,4,5,5,4,0
762,30,4,4,5,5,0
763,30,3,4,3,5,0
764,30,3,4,5,4,0
765,30,5,5,7,4,0
766,30,3,4,5,4,0
767,30,3,4,4,4,0
768,30,5,5,5,3,0
769,30,4,5,5,4,0
770,30,4,5,5,3,0
771,30,4,4,5,4,0
772,30,5,5,6,4,0
773,30,4,4,4,3,0
774,30,3,5,7,3,0
775,30,5,5,6,4,0
776,30,4,5,4,3,0
777,30,4,6,6,4,0
778,30,4,4,4,4,0
779,30,5,6,6,4,0
780,30,3,3,5,3,0
781,30,3,4,3,4,0
782,30,3,4,5,3,0
783,30,4,4,5,4,0
784,30,3,4,5,4,0
785,30,3,2,3,4,0
786,30,5,6,5,4,0
787,30,4,5,6,5,0
788,30,4,4,4,4,0
789,30,4,4,4,4,0
790,30,3,5,4,4,0
791,31,4,5,4,4,0
792,31,2,2,4,4,0
793,31,4,4,6,5,0
794,31,4,5,6,3,0
795,31,3,5,4,4,0
796,31,3,3,3,3,0
797,31,4,4,5,2,0
798,31,3,4,4,3,0
799,31,3,3,4,3,0
800,31,4,5,5,3,0
801,31,5,5,5,5,0
802,31,3,5,4,4,0
803,31,3,5,5,3,0
804,31,4,5,4,5,0
805,31,4,5,5,3,0
806,31,4,5,4,3,0
807,31,3,4,4,3,0
808,31,3,3,4,4,0
809,31,5,4,4,3,0
810,31,3,4,5,4,0
811,31,5,5,6,5,0
812,31,4,3,6,4,0
813,31,5,5,5,4,0
814,31,3,4,4,4,0
815,31,4,5,5,4,0
816,31,4,3,5,4,0
817,31,5,4,7,3,0
818,31,5,5,5,4,0
819,32,5,4,5,3,0
820,32,4,4,6,4,0
821,32,5,5,5,3,0
822,32,3,5,5,4,0
823,32,6,6,6,3,0
824,32,4,5,5,4,0
825,32,5,5,5,5,0
826,32,5,5,5,3,0
827,32,4,4,5,4,0
828,32,6,5,5,3,0
829,32,3,4,4,4,0
830,32,3,4,5,4,0
831,32,5,4,5,4,0
832,32,4,6,5,3,0
833,32,4,5,6,4,0
834,32,2,3,4,3,0
835,32,4,5,5,3,0
836,32,5,5,5,5,0
837,32,3,4,4,3,0
838,32,3,3,5,3,0
839,32,3,4,4,3,0
840,32,5,4,5,5,0
841,32,4,5,6,5,0
842,32,4,5,5,5,0
843,32,3,4,4,3,0
844,32,3,4,3,3,0
845,32,4,5,5,4,0
846,32,4,6,4,4,0
847,33,4,4,6,4,0
848,33,4,4,4,3,0
849,33,4,4,6,4,0
850,33,5,5,5,3,0
851,33,4,5,5,4,0
852,33,4,5,7,5,0
853,33,5,5,5,5,0
854,33,4,3,5,4,0
855,33,2,3,4,4,0
856,33,3,4,5,4,0
857,33,5,4,6,3,0
858,33,4,4,5,2,0
859,33,4,4,6,4,0
860,33,5,5,6,3,0
861,33,4,5,6,6,0
862,33,5,4,5,5,0
863,33,4,4,6,6,0
864,33,4,5,6,3,0
865,33,4,4,5,3,0
866,33,4,3,4,3,0
867,33,4,4,4,4,0
868,33,4,4,5,3,0
869,33,2,3,4,2,0
870,33,3,3,5,3,0
871,33,2,3,5,3,0
872,34,3,4,5,4,0
873,34,4,4,5,5,0
874,34,4,4,5,2,0
875,34,3,4,4,3,0
876,34,4,4,4,4,0
877,34,5,5,4,4,0
878,34,5,6,5,3,0
879,34,4,4,5,5,0
880,34,5,4,5,3,0
881,34,3,4,4,3,0
882,34,4,4,5,4,0
883,34,3,4,5,4,0
884,34,3,4,3,3,0
885,34,4,5,5,4,0
886,34,4,4,5,4,0
887,34,4,3,4,4,0
888,34,3,4,5,2,0
889,34,4,5,5,4,0
890,34,3,4,6,3,0
891,34,3,5,5,4,0
892,34,5,4,6,3,0
893,34,4,5,5,4,0
894,34,3,4,5,2,0
895,34,4,4,6,2,0
896,34,4,4,5,4,0
897,34,5,5,6,4,0
898,34,3,3,4,4,0
899,34,6,5,4,3,0
900,34,4,5,6,4,0
901,35,4,5,5,4,0
902,35,4,4,3,4,0
903,35,4,4,4,6,0
904,35,6,6,6,4,0
905,35,3,4,4,2,0
906,35,5,5,5,4,0
907,35,4,5,4,5,0
908,35,3,4,5,6,0
909,35,6,5,6,3,0
910,35,3,5,5,4,0
911,35,3,4,5,3,0
912,35,4,3,4,4,0
913,35,4,4,5,4,0
914,35,4,5,6,3,0
915,35,6,5,6,4,0
916,35,4,4,5,4,0
917,35,5,5,6,3,0
918,35,4,4,4,4,0
919,35,4,5,5,4,0
920,35,5,5,5,4,0
921,35,4,5,5,4,0
922,35,4,5,5,4,0
923,35,4,4,4,4,0
924,35,5,5,6,4,0
925,35,5,4,5,4,0
926,36,4,5,5,5,0
927,36,4,4,5,5,0
928,36,4,5,5,3,0
929,36,4,4,4,3,0
930,36,3,5,5,5,0
931,36,4,4,4,4,0
932,36,5,3,4,4,0
933,36,2,3,4,4,0
934,36,4,5,5,4,0
935,36,4,4,4,4,0
936,36,3,4,3,5,0
937,36,6,5,6,3,0
938,36,4,4,4,4,0
939,36,4,4,4,4,0
940,36,3,4,4,5,0
941,36,4,6,4,4,0
942,36,4,3,5,2,0
943,36,5,5,5,4,0
944,36,4,5,4,5,0
945,36,4,4,5,4,0
946,36,3,3,4,4,0
947,36,4,5,4,4,0
948,36,5,5,4,4,0
949,36,5,4,5,5,0
950,36,4,4,4,4,0
951,37,4,3,5,2,0
952,37,3,4,4,2,0
953,37,3,4,4,3,0
954,37,2,1,3,4,0
955,37,3,3,4,5,0
956,37,2,4,4,4,0
957,37,4,5,5,6,0
958,37,5,4,4,6,0
959,37,5,4,5,4,0
960,37,5,5,5,2,0
961,37,4,5,5,3,0
962,37,4,5,4,4,0
963,37,4,3,4,4,0
964,37,4,3,4,5,0
965,37,6,6,6,4,0
966,37,4,5,4,5,0
967,37,5,5,4,3,0
968,37,3,3,4,4,0
969,37,4,4,5,3,0
970,37,2,2,2,3,0
971,37,4,4,5,4,0
972,37,6,4,5,4,0
973,37,4,4,5,5,0
974,37,5,5,4,5,0
975,37,3,3,4,3,0
976,37,3,4,5,4,0
977,37,3,4,4,3,0
978,37,4,4,4,4,0
979,38,3,3,3,3,0
980,38,3,3,4,3,0
981,38,3,4,6,3,0
982,38,6,5,6,4,0
983,38,4,4,4,3,0
984,38,4,4,5,5,0
985,38,3,4,6,4,0
986,38,4,4,5,4,0
987,38,4,5,5,4,0
988,38,5,6,6,4,0
989,38,5,4,4,4,0
990,38,3,4,5,4,0
991,38,2,4,4,2,0
992,38,3,4,5,4,0
993,38,4,4,5,5,0
994,38,5,4,6,5,0
995,38,4,5,5,4,0
996,38,5,5,5,3,0
