"g1id","g2id","y","ix","g1x","g2x"
126,2,4,5,1,1
127,2,4,4,0,1
130,2,4,4,0,1
113,2,4,3,0,1
148,2,3,3,1,1
148,2,3,2,1,1
114,2,3,4,0,1
80,2,3,2,0,1
132,2,3,6,0,1
64,2,5,2,0,1
116,2,3,3,0,1
135,2,2,2,1,1
14,2,5,4,0,1
84,2,3,3,1,1
120,2,5,6,1,1
138,2,4,3,0,1
138,2,5,4,0,1
1,2,4,4,0,1
1,2,4,4,0,1
71,2,5,4,0,1
71,2,5,5,0,1
141,2,3,3,1,1
89,2,5,5,1,1
55,2,4,2,0,1
90,2,4,3,0,1
108,2,5,4,0,1
39,2,5,5,1,1
109,2,4,3,1,1
144,2,3,4,1,1
76,2,4,4,1,1
7,2,5,3,0,1
77,2,4,4,0,1
112,2,5,4,0,1
112,2,5,5,0,1
147,2,3,4,0,1
130,2,4,4,0,1
61,2,4,3,1,1
96,2,4,3,1,1
10,2,4,6,0,1
80,2,4,5,0,1
80,2,4,5,0,1
80,2,5,4,0,1
133,2,5,3,1,1
64,2,6,4,0,1
99,2,4,3,1,1
99,2,4,4,1,1
30,2,3,4,1,1
14,2,5,5,0,1
66,2,4,4,1,1
102,2,3,4,0,1
68,2,4,5,0,1
104,2,5,4,0,1
72,2,5,4,1,1
142,2,4,4,1,1
56,2,4,4,1,1
91,2,3,4,0,1
62,2,4,4,0,1
97,2,4,4,0,1
57,2,4,5,0,1
24,2,5,6,1,1
47,2,3,3,0,1
94,2,5,4,1,1
129,2,5,5,1,1
60,2,4,4,0,1
95,2,5,4,0,1
8,2,5,4,1,1
78,2,3,3,1,1
78,2,4,3,1,1
113,2,4,3,0,1
73,2,4,2,0,1
21,2,4,4,0,1
63,2,4,4,1,1
17,2,4,4,0,1
46,2,3,4,0,1
47,2,3,4,0,1
88,2,4,3,1,1
31,2,5,4,0,1
15,2,5,4,0,1
33,2,4,4,0,1
145,2,3,4,0,1
145,2,3,4,0,1
76,2,6,4,1,1
36,2,3,3,0,1
20,2,3,4,1,1
20,2,3,5,1,1
148,2,3,3,1,1
79,2,3,5,0,1
63,2,5,5,1,1
6,2,2,4,1,1
42,2,4,4,1,1
42,2,4,4,1,1
13,2,5,3,1,1
43,2,6,3,0,1
61,2,5,4,1,1
32,2,5,4,0,1
27,2,4,3,0,1
52,2,4,4,0,1
63,2,4,3,1,1
35,2,3,4,1,1
18,2,5,4,1,1
53,2,6,5,1,1
65,2,5,4,0,1
14,2,5,4,0,1
14,2,5,5,0,1
28,2,3,4,0,1
39,2,6,4,1,1
5,2,3,3,0,1
9,2,5,4,1,1
72,2,5,3,1,1
35,2,3,4,1,1
59,2,2,4,0,1
26,2,4,4,1,1
44,2,4,4,1,1
19,2,6,5,1,1
45,2,5,4,1,1
31,2,5,5,0,1
37,2,3,5,0,1
83,3,5,4,1,1
137,3,5,4,1,1
81,3,2,3,1,1
122,3,4,4,0,1
135,3,5,4,1,1
106,3,3,3,1,1
120,3,3,4,1,1
109,3,5,4,1,1
85,3,5,3,0,1
136,3,3,3,1,1
107,3,3,5,0,1
137,3,5,4,1,1
87,3,3,4,0,1
138,3,5,5,0,1
150,3,5,5,0,1
106,3,4,4,1,1
134,3,5,5,0,1
82,3,5,4,0,1
120,3,3,3,1,1
86,3,4,4,0,1
140,3,4,5,0,1
141,3,4,3,1,1
108,3,4,4,0,1
97,3,3,3,0,1
57,3,3,3,0,1
81,3,3,3,1,1
69,3,4,4,1,1
81,3,3,3,1,1
58,3,4,3,1,1
128,3,5,4,0,1
112,3,5,4,0,1
147,3,4,4,0,1
115,3,3,4,1,1
128,3,6,5,0,1
99,3,4,4,1,1
146,3,4,7,1,1
117,3,3,3,1,1
147,3,5,5,0,1
147,3,5,5,0,1
101,3,3,4,0,1
67,3,5,4,1,1
121,3,3,4,0,1
99,3,3,4,1,1
122,3,5,4,0,1
53,3,5,3,1,1
117,3,3,3,1,1
124,3,3,4,0,1
72,3,3,4,1,1
101,3,3,4,0,1
107,3,3,4,0,1
142,3,3,3,1,1
109,3,3,4,1,1
60,3,4,3,0,1
60,3,4,4,0,1
60,3,3,2,0,1
130,3,3,4,0,1
132,3,4,3,0,1
98,3,5,4,1,1
11,3,4,4,0,1
65,3,4,4,0,1
100,3,5,4,1,1
118,3,5,5,0,1
101,3,4,5,0,1
136,3,4,4,1,1
84,3,6,4,1,1
119,3,4,4,0,1
85,3,4,4,0,1
138,3,3,3,0,1
69,3,5,3,1,1
70,3,3,4,0,1
1,3,4,4,0,1
36,3,5,4,0,1
72,3,4,5,1,1
20,3,4,4,1,1
73,3,4,4,0,1
92,3,3,3,0,1
111,3,3,4,0,1
59,3,4,4,0,1
7,3,4,4,0,1
42,3,4,5,1,1
129,3,4,4,1,1
45,3,5,4,1,1
29,3,5,4,0,1
64,3,4,3,0,1
100,3,6,3,1,1
135,3,5,4,1,1
31,3,3,4,0,1
118,3,5,6,0,1
32,3,4,3,0,1
15,3,5,5,0,1
143,3,4,4,1,1
35,3,5,6,1,1
140,3,2,3,0,1
19,3,5,4,1,1
72,3,5,5,1,1
142,3,3,4,1,1
149,3,2,4,0,1
74,3,4,4,0,1
111,3,3,4,0,1
43,3,5,4,0,1
61,3,5,4,1,1
92,3,3,2,0,1
40,3,4,4,0,1
53,3,3,3,1,1
48,3,4,4,0,1
19,3,6,4,1,1
101,3,3,4,0,1
33,3,3,4,0,1
45,3,5,3,1,1
144,3,5,4,1,1
17,3,4,4,0,1
139,3,3,4,1,1
70,3,4,4,0,1
41,3,4,3,1,1
53,3,3,4,1,1
36,3,4,4,0,1
37,3,5,4,0,1
142,3,4,5,1,1
74,3,4,6,0,1
28,3,4,4,0,1
5,3,4,3,0,1
17,3,4,4,0,1
6,3,4,4,1,1
29,3,5,4,0,1
42,3,3,3,1,1
2,3,5,4,1,1
8,3,5,5,1,1
26,3,5,4,1,1
113,3,5,4,0,1
30,3,3,3,1,1
36,3,4,2,0,1
14,3,4,5,0,1
33,3,3,4,0,1
79,3,3,3,0,1
22,3,3,5,1,1
5,3,4,5,0,1
104,3,5,5,0,1
36,3,4,3,0,1
25,3,4,5,1,1
39,3,4,3,1,1
37,3,5,3,0,1
26,3,5,4,1,1
34,3,3,4,0,1
31,3,3,3,0,1
4,3,5,4,1,1
114,3,3,4,0,1
7,3,3,2,0,1
66,3,5,4,1,1
83,4,5,4,1,1
65,4,4,4,0,1
85,4,3,3,0,1
82,4,4,4,0,1
116,4,6,5,0,1
122,4,4,5,0,1
51,4,4,4,1,1
81,4,4,4,1,1
68,4,5,3,0,1
63,4,5,5,1,1
138,4,4,4,0,1
81,4,4,4,1,1
67,4,4,4,1,1
80,4,3,4,0,1
93,4,5,4,1,1
94,4,3,4,1,1
146,4,4,4,1,1
147,4,5,3,0,1
96,4,5,5,1,1
138,4,5,4,0,1
41,4,5,3,1,1
99,4,5,5,1,1
117,4,4,4,1,1
98,4,5,4,1,1
83,4,5,4,1,1
83,4,4,4,1,1
119,4,3,4,0,1
120,4,5,4,1,1
139,4,4,4,1,1
71,4,4,5,0,1
107,4,3,4,0,1
137,4,2,3,1,1
22,4,5,5,1,1
109,4,4,4,1,1
144,4,5,4,1,1
111,4,3,3,0,1
24,4,3,3,1,1
95,4,2,3,0,1
107,4,5,4,0,1
78,4,6,5,1,1
148,4,4,4,1,1
21,4,3,4,0,1
108,4,4,4,0,1
132,4,5,4,0,1
11,4,4,3,0,1
110,4,5,4,1,1
47,4,3,3,0,1
47,4,5,5,0,1
101,4,3,5,0,1
49,4,3,4,0,1
85,4,3,4,0,1
50,4,5,4,0,1
121,4,2,4,0,1
58,4,4,4,1,1
52,4,4,3,0,1
116,4,5,4,0,1
122,4,4,4,0,1
70,4,4,5,0,1
89,4,3,4,1,1
72,4,6,5,1,1
124,4,3,5,0,1
4,4,4,3,1,1
109,4,2,3,1,1
57,4,6,6,0,1
144,4,3,4,1,1
127,4,3,6,0,1
111,4,2,4,0,1
147,4,5,4,0,1
131,4,4,3,0,1
10,4,5,4,0,1
80,4,2,3,0,1
64,4,4,4,0,1
30,4,3,4,1,1
13,4,3,3,1,1
138,4,4,5,0,1
110,4,3,4,1,1
70,4,4,3,0,1
35,4,5,4,1,1
123,4,3,3,1,1
72,4,5,3,1,1
90,4,3,4,0,1
108,4,4,3,0,1
149,4,3,4,0,1
111,4,3,4,0,1
59,4,5,4,0,1
147,4,4,5,0,1
61,4,5,4,1,1
61,4,5,4,1,1
44,4,3,4,1,1
73,4,3,4,0,1
91,4,4,2,0,1
132,4,4,4,0,1
63,4,5,4,1,1
63,4,6,4,1,1
92,4,5,6,0,1
139,4,5,4,1,1
12,4,3,3,1,1
123,4,3,5,1,1
100,4,6,5,1,1
100,4,4,4,1,1
14,4,5,5,0,1
14,4,4,3,0,1
119,4,4,4,0,1
119,4,3,3,0,1
92,4,5,4,0,1
76,4,3,3,1,1
24,4,3,3,1,1
19,4,5,3,1,1
73,4,4,4,0,1
4,4,3,3,1,1
74,4,3,4,0,1
10,4,6,3,0,1
127,4,3,4,0,1
17,4,4,4,0,1
105,4,5,5,0,1
77,4,4,3,0,1
8,4,4,3,1,1
113,4,5,3,0,1
148,4,3,4,1,1
61,4,6,4,1,1
9,4,4,4,1,1
62,4,4,5,0,1
6,4,3,4,1,1
76,4,3,5,1,1
1,4,4,4,0,1
38,4,4,3,0,1
2,4,4,4,1,1
66,4,5,3,1,1
20,4,6,4,1,1
74,4,4,4,0,1
39,4,3,5,1,1
52,4,5,4,0,1
20,4,6,5,1,1
18,4,4,3,1,1
26,4,5,6,1,1
8,4,4,3,1,1
21,4,4,5,0,1
78,4,5,3,1,1
24,4,4,4,1,1
43,4,3,4,0,1
18,4,7,5,1,1
10,4,4,4,0,1
78,4,6,5,1,1
44,4,5,5,1,1
44,4,4,2,1,1
83,5,3,4,1,0
100,5,6,4,1,0
120,5,2,4,1,0
98,5,4,4,1,0
135,5,6,4,1,0
147,5,6,4,0,0
116,5,4,4,0,0
116,5,3,4,0,0
149,5,4,5,0,0
68,5,3,4,0,0
85,5,6,5,0,0
83,5,4,5,1,0
93,5,5,4,1,0
141,5,3,4,1,0
67,5,5,4,1,0
68,5,2,4,0,0
132,5,3,3,0,0
63,5,4,5,1,0
98,5,4,4,1,0
117,5,5,4,1,0
55,5,4,3,0,0
148,5,4,4,1,0
102,5,5,4,0,0
120,5,3,3,1,0
97,5,6,4,0,0
86,5,4,3,0,0
141,5,3,4,1,0
89,5,4,6,1,0
85,5,5,4,0,0
109,5,4,4,1,0
109,5,4,4,1,0
58,5,5,5,1,0
110,5,3,3,1,0
93,5,6,4,1,0
145,5,4,3,0,0
107,5,4,4,0,0
132,5,4,4,0,0
46,5,4,4,0,0
29,5,3,4,0,0
65,5,4,4,0,0
65,5,3,4,0,0
100,5,5,3,1,0
31,5,4,5,0,0
135,5,5,3,1,0
148,5,5,4,1,0
103,5,4,4,1,0
46,5,4,5,0,0
52,5,5,4,0,0
70,5,3,3,0,0
122,5,5,3,0,0
123,5,2,2,1,0
54,5,3,2,0,0
125,5,6,4,1,0
119,5,5,5,0,0
56,5,4,4,1,0
148,5,5,4,1,0
127,5,5,4,0,0
23,5,3,5,1,0
77,5,3,3,0,0
131,5,4,4,0,0
126,5,4,5,1,0
45,5,2,4,1,0
133,5,4,4,1,0
47,5,4,4,0,0
47,5,5,4,0,0
12,5,4,4,1,0
48,5,4,3,0,0
13,5,3,5,1,0
31,5,3,3,0,0
142,5,2,3,1,0
136,5,5,4,1,0
79,5,4,5,0,0
103,5,5,3,1,0
121,5,3,4,0,0
35,5,5,4,1,0
88,5,4,5,1,0
123,5,3,4,1,0
79,5,4,3,0,0
75,5,4,4,1,0
127,5,5,4,0,0
12,5,3,4,1,0
59,5,2,3,0,0
146,5,4,3,1,0
129,5,5,4,1,0
96,5,4,4,1,0
62,5,5,4,0,0
144,5,4,2,1,0
11,5,5,2,0,0
53,5,4,4,1,0
36,5,4,5,0,0
14,5,4,4,0,0
15,5,4,4,0,0
148,5,5,4,1,0
33,5,4,3,0,0
120,5,4,5,1,0
10,5,5,6,0,0
92,5,4,4,0,0
42,5,3,3,1,0
2,5,5,4,1,0
43,5,4,4,0,0
90,5,2,4,0,0
44,5,6,5,1,0
27,5,5,3,0,0
45,5,4,4,1,0
34,5,4,4,0,0
1,5,5,4,0,0
2,5,5,4,1,0
61,5,4,4,1,0
142,5,3,4,1,0
39,5,4,3,1,0
28,5,3,4,0,0
17,5,4,3,0,0
40,5,2,3,0,0
35,5,5,4,1,0
95,5,5,6,0,0
27,5,6,5,0,0
126,5,3,3,1,0
22,5,3,4,1,0
23,5,4,4,1,0
40,5,2,3,0,0
23,5,3,5,1,0
19,5,3,4,1,0
4,5,2,3,1,0
26,5,4,5,1,0
5,5,5,4,0,0
38,5,6,4,0,0
44,5,5,5,1,0
16,5,3,4,1,0
25,5,4,4,1,0
55,5,5,4,0,0
18,5,3,3,1,0
3,5,5,5,0,0
24,5,5,4,1,0
9,5,5,4,1,0
21,5,4,3,0,0
21,5,4,5,0,0
37,5,5,4,0,0
18,5,4,2,1,0
20,5,4,5,1,0
40,5,3,4,0,0
20,5,4,3,1,0
53,5,3,5,1,0
53,5,4,4,1,0
8,5,5,3,1,0
8,5,6,4,1,0
83,6,4,4,1,0
83,6,5,5,1,0
69,6,4,4,1,0
81,6,4,3,1,0
67,6,5,3,1,0
82,6,5,4,0,0
99,6,3,4,1,0
103,6,4,5,1,0
98,6,4,3,1,0
87,6,3,5,0,0
54,6,3,4,0,0
118,6,2,3,0,0
115,6,4,6,1,0
64,6,5,5,0,0
93,6,4,4,1,0
119,6,3,4,0,0
82,6,5,4,0,0
46,6,5,5,0,0
115,6,3,3,1,0
94,6,1,2,1,0
65,6,4,4,0,0
84,6,3,4,1,0
71,6,5,5,0,0
97,6,3,3,0,0
86,6,4,3,0,0
63,6,5,4,1,0
101,6,5,4,0,0
55,6,4,4,0,0
112,6,4,4,0,0
80,6,5,4,0,0
28,6,5,4,0,0
70,6,4,4,0,0
47,6,4,4,0,0
88,6,4,3,1,0
54,6,3,4,0,0
117,6,4,3,1,0
66,6,3,5,1,0
56,6,4,3,1,0
85,6,4,4,0,0
57,6,3,3,0,0
53,6,6,5,1,0
59,6,3,6,0,0
54,6,3,4,0,0
95,6,4,3,0,0
31,6,2,4,0,0
79,6,3,3,0,0
116,6,3,4,0,0
135,6,5,4,1,0
62,6,2,3,0,0
103,6,3,4,1,0
11,6,4,4,0,0
138,6,3,3,0,0
116,6,3,4,0,0
87,6,3,3,0,0
71,6,4,4,0,0
36,6,6,5,0,0
72,6,3,3,1,0
108,6,4,3,0,0
125,6,5,5,1,0
33,6,5,3,0,0
138,6,2,4,0,0
58,6,5,5,1,0
76,6,4,3,1,0
77,6,4,5,0,0
95,6,4,4,0,0
95,6,4,4,0,0
79,6,4,5,0,0
148,6,4,3,1,0
149,6,6,4,0,0
29,6,6,4,0,0
29,6,5,3,0,0
100,6,5,4,1,0
2,6,5,3,1,0
135,6,5,5,1,0
14,6,4,4,0,0
14,6,2,3,0,0
73,6,4,4,0,0
102,6,4,3,0,0
16,6,5,4,1,0
51,6,5,4,1,0
52,6,3,3,0,0
87,6,2,3,0,0
35,6,4,4,1,0
105,6,5,5,0,0
124,6,3,4,0,0
73,6,3,3,0,0
125,6,4,5,1,0
143,6,4,4,1,0
92,6,2,3,0,0
92,6,3,3,0,0
6,6,5,5,1,0
24,6,5,4,1,0
61,6,5,4,1,0
97,6,4,5,0,0
132,6,4,4,0,0
123,6,4,4,1,0
136,6,5,4,1,0
15,6,5,4,0,0
34,6,3,4,0,0
138,6,4,4,0,0
104,6,4,4,0,0
104,6,4,4,0,0
24,6,5,5,1,0
88,6,5,5,1,0
146,6,4,4,1,0
146,6,5,4,1,0
43,6,3,4,0,0
142,6,3,4,1,0
27,6,4,4,0,0
91,6,5,5,0,0
143,6,4,4,1,0
126,6,4,3,1,0
126,6,3,3,1,0
126,6,3,4,1,0
140,6,4,4,0,0
43,6,4,4,0,0
43,6,5,4,0,0
43,6,5,4,0,0
78,6,5,3,1,0
10,6,3,3,0,0
103,6,3,4,1,0
36,6,5,4,0,0
106,6,4,3,1,0
141,6,5,4,1,0
38,6,4,6,0,0
4,6,4,3,1,0
21,6,3,4,0,0
22,6,3,4,1,0
92,6,3,3,0,0
18,6,5,4,1,0
53,6,4,3,1,0
123,6,3,4,1,0
89,6,6,5,1,0
124,6,4,4,0,0
38,6,3,2,0,0
39,6,5,3,1,0
22,6,3,4,1,0
34,6,3,4,0,0
10,6,4,4,0,0
40,6,4,4,0,0
129,6,3,3,1,0
8,6,3,4,1,0
147,6,4,4,0,0
142,6,3,4,1,0
108,6,5,4,0,0
85,7,4,5,0,0
32,7,4,5,0,0
86,7,4,3,0,0
83,7,5,5,1,0
45,7,6,5,1,0
81,7,5,4,1,0
118,7,4,5,0,0
47,7,4,3,0,0
84,7,6,5,1,0
137,7,5,5,1,0
80,7,5,4,0,0
150,7,3,4,0,0
48,7,5,4,0,0
99,7,4,4,1,0
82,7,4,3,0,0
43,7,5,4,0,0
49,7,3,4,0,0
118,7,4,3,0,0
67,7,3,4,1,0
137,7,4,4,1,0
51,7,4,4,1,0
116,7,4,3,0,0
30,7,5,4,1,0
1,7,6,5,0,0
66,7,4,3,1,0
118,7,3,2,0,0
101,7,3,3,0,0
85,7,4,4,0,0
98,7,6,3,1,0
133,7,4,5,1,0
117,7,5,4,1,0
2,7,5,4,1,0
101,7,5,4,0,0
91,7,4,5,0,0
86,7,4,3,0,0
121,7,4,5,0,0
150,7,5,4,0,0
26,7,4,4,1,0
78,7,3,4,1,0
148,7,3,4,1,0
132,7,4,5,0,0
116,7,5,4,0,0
64,7,3,4,0,0
116,7,4,5,0,0
100,7,4,6,1,0
100,7,3,5,1,0
65,7,4,5,0,0
135,7,5,3,1,0
14,7,5,4,0,0
119,7,4,4,0,0
68,7,4,3,0,0
68,7,3,4,0,0
11,7,3,4,0,0
138,7,3,4,0,0
122,7,4,5,0,0
141,7,3,3,1,0
141,7,4,4,1,0
90,7,5,4,0,0
138,7,2,2,0,0
144,7,3,3,1,0
128,7,4,4,0,0
42,7,5,4,1,0
77,7,4,3,0,0
96,7,6,5,1,0
96,7,5,5,1,0
115,7,6,7,1,0
29,7,4,4,0,0
30,7,4,3,1,0
15,7,3,3,0,0
137,7,4,4,1,0
69,7,4,4,1,0
70,7,4,3,0,0
70,7,4,3,0,0
54,7,5,4,0,0
89,7,4,3,1,0
3,7,3,3,0,0
38,7,4,4,0,0
22,7,6,5,1,0
143,7,4,5,1,0
92,7,5,4,0,0
7,7,3,3,0,0
146,7,5,4,1,0
44,7,5,4,1,0
79,7,5,4,0,0
132,7,4,4,0,0
123,7,5,4,1,0
136,7,4,3,1,0
33,7,5,5,0,0
17,7,2,3,0,0
75,7,5,6,1,0
35,7,4,3,1,0
88,7,5,4,1,0
94,7,4,3,1,0
107,7,2,5,0,0
142,7,6,5,1,0
75,7,4,5,1,0
52,7,5,5,0,0
122,7,4,4,0,0
105,7,2,3,0,0
19,7,5,3,1,0
112,7,2,4,0,0
55,7,5,4,0,0
78,7,3,4,1,0
26,7,4,5,1,0
27,7,2,4,0,0
62,7,5,3,0,0
149,7,5,5,0,0
103,7,5,5,1,0
28,7,3,3,0,0
52,7,4,3,0,0
58,7,3,3,1,0
42,7,5,4,1,0
77,7,4,3,0,0
123,7,4,3,1,0
55,7,6,4,0,0
103,7,5,3,1,0
103,7,5,4,1,0
74,7,5,4,0,0
23,7,4,5,1,0
140,7,4,4,0,0
59,7,3,4,0,0
123,7,5,4,1,0
61,7,5,3,1,0
61,7,5,5,1,0
37,7,3,3,0,0
21,7,5,4,0,0
39,7,5,4,1,0
57,7,4,3,0,0
104,7,5,5,0,0
127,7,4,4,0,0
75,7,4,4,1,0
76,7,3,3,1,0
111,7,2,2,0,0
24,7,4,4,1,0
25,7,3,3,1,0
124,7,3,3,0,0
124,7,3,5,0,0
27,7,4,5,0,0
40,7,4,4,0,0
72,7,4,5,1,0
36,7,6,4,0,0
53,7,4,4,1,0
126,7,5,5,1,0
126,7,5,4,1,0
22,7,6,5,1,0
20,7,4,5,1,0
20,7,2,3,1,0
136,8,3,4,1,1
100,8,4,4,1,1
113,8,4,2,0,1
49,8,5,4,0,1
130,8,3,4,0,1
48,8,5,3,0,1
85,8,2,3,0,1
117,8,5,4,1,1
135,8,4,5,1,1
134,8,4,3,0,1
95,8,5,4,0,1
130,8,3,4,0,1
32,8,4,4,0,1
67,8,4,3,1,1
108,8,4,3,0,1
131,8,5,4,0,1
148,8,5,5,1,1
132,8,5,3,0,1
132,8,4,4,0,1
64,8,3,3,0,1
65,8,4,4,0,1
147,8,3,4,0,1
130,8,3,3,0,1
130,8,3,4,0,1
44,8,5,5,1,1
131,8,4,3,0,1
45,8,6,5,1,1
150,8,5,4,0,1
12,8,4,3,1,1
64,8,4,4,0,1
82,8,4,5,0,1
134,8,4,5,0,1
95,8,5,3,0,1
135,8,3,4,1,1
107,8,3,3,0,1
136,8,2,4,1,1
96,8,3,4,1,1
136,8,3,3,1,1
142,8,4,3,1,1
16,8,5,5,1,1
143,8,5,5,1,1
99,8,6,4,1,1
129,8,3,3,1,1
3,8,3,4,0,1
95,8,4,5,0,1
11,8,4,4,0,1
98,8,4,5,1,1
116,8,4,4,0,1
116,8,5,4,0,1
64,8,5,5,0,1
145,8,3,3,0,1
2,8,4,5,1,1
47,8,3,4,0,1
14,8,4,4,0,1
113,8,5,3,0,1
11,8,3,4,0,1
46,8,2,2,0,1
52,8,5,5,0,1
139,8,3,3,1,1
12,8,4,5,1,1
1,8,5,3,0,1
106,8,3,4,1,1
14,8,4,3,0,1
141,8,4,4,1,1
55,8,5,4,0,1
84,8,6,4,1,1
119,8,5,4,0,1
69,8,4,5,1,1
138,8,3,5,0,1
52,8,5,5,0,1
58,8,4,4,1,1
58,8,4,5,1,1
87,8,5,6,0,1
128,8,4,4,0,1
145,8,4,3,0,1
128,8,4,4,0,1
140,8,5,3,0,1
78,8,4,3,1,1
61,8,5,5,1,1
74,8,3,3,0,1
150,8,4,4,0,1
35,8,4,4,1,1
71,8,5,5,0,1
128,8,5,5,0,1
54,8,4,5,0,1
54,8,5,5,0,1
65,8,4,4,0,1
65,8,4,4,0,1
89,8,3,2,1,1
26,8,5,3,1,1
102,8,3,4,0,1
137,8,3,4,1,1
42,8,5,3,1,1
54,8,4,3,0,1
141,8,3,3,1,1
15,8,4,4,0,1
22,8,5,3,1,1
92,8,5,4,0,1
59,8,4,2,0,1
25,8,2,3,1,1
37,8,4,3,0,1
79,8,2,3,0,1
79,8,3,3,0,1
63,8,5,6,1,1
2,8,2,4,1,1
31,8,3,3,0,1
34,8,3,4,0,1
69,8,4,4,1,1
17,8,3,3,0,1
1,8,5,4,0,1
89,8,5,4,1,1
8,8,3,3,1,1
147,8,4,4,0,1
124,8,4,3,0,1
21,8,5,5,0,1
91,8,4,4,0,1
126,8,3,2,1,1
92,8,5,5,0,1
76,8,4,3,1,1
70,8,5,4,0,1
7,8,4,3,0,1
106,8,4,4,1,1
147,8,3,4,0,1
62,8,5,5,0,1
27,8,5,3,0,1
45,8,6,3,1,1
